id,Suburb,neighboring_suburbs,area,percent_area_affected,bushfire_affected
9325,CORRINGLE,,0.22160427796982252,0.462,Yes
9327,MARLO,"CAPE CONRAN, MANORINA, BEMM RIVER, CABBAGE TREE CREEK",51.83145139770313,32.629,Yes
8657,WICKLIFFE,,0.5356896893335557,0.292,Yes
9028,TALLANDOON,SANDY CREEK,0.2664511274303218,0.246,Yes
10009,BEMM RIVER,"TAMBOON, BELLBIRD CREEK, MANORINA, MARLO, CLUB TERRACE",285.2652059588985,88.545,Yes
8603,MOUTAJUP,,0.0014154824047099182,0.001,Yes
8915,BUCKRABANYULE,,0.12514877244282088,0.075,Yes
9996,WOMBAT CREEK,"BETE BOLONG, WAIREWA, TOSTAREE",31.242791779301594,32.277,Yes
8802,CRESSY,,0.020930637912063663,0.016,Yes
8805,MOYSTON,,0.3429268081526259,0.135,Yes
8696,WHOROULY SOUTH,CARBOOR,1.7948361052364175,1.85,Yes
8697,MOUNT TAYLOR,CLIFTON CREEK,0.007230333640259438,0.007,Yes
8537,WAIREWA,"BUCHAN SOUTH, BETE BOLONG, WOMBAT CREEK, TOSTAREE",78.4175556904903,92.42,Yes
8372,TINTALDRA,"PINE MOUNTAIN, TOWONG, CUDGEWA",81.07626827138415,90.972,Yes
10439,DUNACH,,0.00421376282231646,0.017,Yes
8502,WROXHAM,"CHANDLERS CREEK, WANGARABELL, MARAMINGO CREEK",65.9894059372489,100.0,Yes
8426,WOOLENOOK,,0.006505400204723765,0.009,Yes
9922,BUANGOR,,0.007198000715409552,0.005,Yes
8531,BETE BOLONG NORTH,"BUCHAN SOUTH, YALMY, BETE BOLONG, JARRAHMOND",81.14010243724039,100.0,Yes
8636,DUNDONNELL,WOORNDOO,0.7725148774177387,0.379,Yes
8363,BREAKAWAY CREEK,"MACARTHUR, BESSIEBELLE, LAKE CONDAH",17.236141609429815,25.198,Yes
8690,CHESHUNT,,0.3758550126617037,0.202,Yes
8346,TABILK,,0.19002650727127599,0.204,Yes
8506,CORRYONG,"TOWONG, COLAC COLAC, CUDGEWA, THOWGLA VALLEY",56.55093792048102,69.285,Yes
8353,THOONA,,0.020343386790349124,0.022,Yes
8558,WARRAK,,0.006139753872663902,0.008,Yes
8509,SMOKO,,0.08028554435016326,0.094,Yes
8511,KINYPANIAL,,1.159655404650422,1.411,Yes
8686,MAROONA,,0.4349946275903791,0.3,Yes
8691,MUDGEGONGA,,0.053839844574185024,0.029,Yes
8695,BUFFALO RIVER,"DANDONGADALE, MOUNT BUFFALO, NUG NUG, CARBOOR",10.963440051984673,11.281,Yes
