LATITUDE,LONGITUDE,BRIGHTNESS,ACQ_DATE,ACQ_TIME,suburb
-37.6911,147.92600000000002,385.5,2019-11-24,410,NOWA NOWA
-37.6928,147.9146,346.2,2019-11-24,410,NOWA NOWA
-37.6804,147.9352,351.5,2019-11-24,410,NOWA NOWA
-37.6821,147.9239,376.3,2019-11-24,410,NOWA NOWA
-37.6838,147.9125,364.2,2019-11-24,410,NOWA NOWA
-37.6744,147.9155,306.8,2019-11-24,410,NOWA NOWA
-38.0144,145.2676,321.5,2019-11-24,410,HALLAM
-37.9481,145.0678,320.8,2019-11-24,410,MOORABBIN
-37.9073,145.241,319.8,2019-11-24,410,ROWVILLE
-37.8151,144.8196,320.6,2019-11-24,410,SUNSHINE WEST
-37.3307,148.309,319.0,2019-11-24,410,W TREE
-37.3183,148.3296,340.5,2019-11-24,410,W TREE
-37.3217,148.3069,333.0,2019-11-24,410,W TREE
-37.3234,148.2956,341.4,2019-11-24,410,W TREE
-37.3251,148.2844,339.9,2019-11-24,410,W TREE
-37.3092,148.3275,342.4,2019-11-24,410,W TREE
-37.3144,148.2936,364.2,2019-11-24,410,W TREE
-37.3002,148.3253,336.9,2019-11-24,410,W TREE
-37.3019,148.3139,353.4,2019-11-24,410,W TREE
-37.2929,148.3117,318.9,2019-11-24,410,W TREE
-37.2254,148.2063,319.1,2019-11-24,410,GELANTIPY
-37.2271,148.195,322.9,2019-11-24,410,GELANTIPY
-37.0799,146.9267,318.0,2019-11-24,410,SELWYN
-37.0709,146.9247,351.9,2019-11-24,410,SELWYN
-37.0725,146.9134,329.0,2019-11-24,410,SELWYN
-37.0619,146.9227,316.6,2019-11-24,410,SELWYN
-37.0634,146.9115,318.6,2019-11-24,410,SELWYN
-36.9739,146.6297,334.1,2019-11-24,410,ROSE RIVER
-36.9755,146.6183,318.2,2019-11-24,410,ROSE RIVER
-36.9543,146.637,332.0,2019-11-24,410,ROSE RIVER
-36.9559,146.6256,314.6,2019-11-24,410,ROSE RIVER
-36.9115,146.7494,313.0,2019-11-24,410,DANDONGADALE
-36.9131,146.738,336.7,2019-11-24,410,DANDONGADALE
-36.9147,146.7265,310.4,2019-11-24,410,DANDONGADALE
-36.7907,147.4052,318.5,2019-11-24,410,NELSE
-36.7923,147.394,317.0,2019-11-24,410,NELSE
-37.6853,147.9253,303.4,2019-11-24,1335,NOWA NOWA
-37.6866,147.92,302.6,2019-11-24,1335,NOWA NOWA
-37.3359,148.2981,303.2,2019-11-24,1335,W TREE
-37.3176,148.3185,306.2,2019-11-24,1335,W TREE
-37.3229,148.2946,337.3,2019-11-24,1335,W TREE
-37.328,148.2715,320.8,2019-11-24,1335,W TREE
-37.3047,148.314,317.2,2019-11-24,1335,W TREE
-37.3098,148.2909,323.0,2019-11-24,1335,W TREE
-37.3269,148.2899,337.7,2019-11-24,1335,W TREE
-37.3089,148.3093,320.8,2019-11-24,1335,W TREE
-37.3139,148.2863,318.2,2019-11-24,1335,W TREE
-37.296,148.3047,309.0,2019-11-24,1335,W TREE
-37.42,147.6022,304.6,2019-11-24,1335,MARTHAVALE
-36.908,146.7389,303.9,2019-11-24,1335,DANDONGADALE
-36.9044,146.7316,301.5,2019-11-24,1335,DANDONGADALE
-36.5963,147.2675,305.8,2019-11-24,1335,MITTA MITTA
-36.6156,147.17700000000002,300.0,2019-11-24,1335,ESKDALE
-36.5963,147.2608,303.7,2019-11-24,1335,MITTA MITTA
-36.6152,147.17,300.9,2019-11-24,1335,TAWONGA
